Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-17,BPCL,EQ,375.55,372.0,378.85,366.55,377.0,376.2,372.24,6425893,239197120544999.97,82208,1884375,0.2932
2019-05-20,BPCL,EQ,376.2,390.0,396.65,383.5,392.0,391.8,390.78,5197867,203123344865000.0,60158,1334528,0.25670000000000004
2019-05-21,BPCL,EQ,391.8,395.5,397.35,368.3,375.35,374.45,375.08,8378443,314257101230000.0,115684,1969993,0.23510000000000003
2019-05-22,BPCL,EQ,374.45,378.0,388.9,376.0,383.25,384.25,383.89,7762830,298004243345000.0,95303,1756339,0.2262
2019-05-23,BPCL,EQ,384.25,389.9,411.45,382.0,386.1,384.35,397.91,12958801,515644909685000.06,161928,5967768,0.46049999999999996
2019-05-24,BPCL,EQ,384.35,395.0,398.9,386.8,394.9,395.45,392.67,9903134,388865574930000.0,112676,3267768,0.33
2019-05-27,BPCL,EQ,395.45,393.0,403.85,388.85,401.9,402.0,398.99,5111371,203937922870000.0,80175,1349936,0.2641
2019-05-28,BPCL,EQ,402.0,402.0,409.35,397.1,402.2,401.95,402.82,19910596,802039769570000.0,160140,13270448,0.6665000000000001
2019-05-29,BPCL,EQ,401.95,402.0,402.95,393.55,400.35,399.15,397.21,4251528,168874552970000.0,67684,1290389,0.30350000000000005
2019-05-30,BPCL,EQ,399.15,401.0,409.7,400.05,407.55,407.65,405.7,7050963,286060388375000.0,66828,3239275,0.4594
2019-05-31,BPCL,EQ,407.65,414.15,421.7,406.2,408.0,409.35,414.46,13817796,572695152580000.0,153069,4796387,0.3471
2019-06-03,BPCL,EQ,409.35,417.5,419.9,411.15,417.0,417.1,415.45,7021983,291725143875000.0,75489,2186920,0.3114
2019-06-04,BPCL,EQ,417.1,415.4,415.9,406.75,407.5,408.35,411.29,3727312,153298979615000.0,77331,1311891,0.35200000000000004
2019-06-06,BPCL,EQ,408.35,414.0,414.2,395.5,395.9,397.05,403.08,7635450,307773431445000.0,115693,3519868,0.461
2019-06-07,BPCL,EQ,397.05,394.0,404.65,389.6,403.25,403.0,399.42,5527623,220785435910000.0,70035,1331332,0.2409
2019-06-10,BPCL,EQ,403.0,399.25,401.75,386.3,389.85,389.65,391.31,5442044,212950110000000.0,71874,1604708,0.2949
2019-06-11,BPCL,EQ,389.65,388.55,393.5,379.15,386.0,387.0,385.79,6327189,244094610415000.0,64207,1919742,0.3034
2019-06-12,BPCL,EQ,387.0,388.0,390.5,379.45,381.5,381.0,383.44,5203535,199522348455000.0,50995,2059413,0.3958
2019-06-13,BPCL,EQ,381.0,384.9,390.5,383.0,387.9,388.8,386.86,6913721,267465754560000.0,67946,2333611,0.3375
2019-06-14,BPCL,EQ,388.8,386.25,390.6,384.15,385.55,386.5,386.83,3037793,117510955915000.02,65248,1157249,0.381
2019-06-17,BPCL,EQ,386.5,385.15,385.5,376.2,378.2,378.15,380.7,3968261,151071264400000.0,39081,1687740,0.4181
2019-06-18,BPCL,EQ,378.15,378.95,386.9,376.3,386.0,385.55,382.84,3110861,119096474300000.0,54398,679143,0.215
2019-06-19,BPCL,EQ,385.55,385.65,386.75,376.1,378.05,379.35,381.28,4120786,157118520880000.0,57567,1675960,0.4067
2019-06-20,BPCL,EQ,379.35,378.1,386.45,377.0,385.5,385.2,383.43,4306336,165119536070000.0,87018,1658811,0.38520000000000004
2019-06-21,BPCL,EQ,385.2,377.0,387.35,377.0,379.8,380.0,381.43,5393974,205740239770000.0,50244,2738846,0.5078
2019-06-24,BPCL,EQ,380.0,379.0,382.65,373.1,381.0,380.85,376.91,3271602,123310198950000.0,36923,916845,0.2802
2019-06-25,BPCL,EQ,380.85,379.0,394.6,379.0,392.4,393.1,388.94,6204969,241336941169999.97,82485,1839285,0.2964
2019-06-26,BPCL,EQ,393.1,387.5,393.6,386.1,391.2,391.4,389.29,3266267,127152124225000.0,50457,602024,0.1843
2019-06-27,BPCL,EQ,391.4,388.0,398.0,386.6,390.6,392.2,392.07,7031613,275687252090000.0,82744,2942523,0.41850000000000004
2019-06-28,BPCL,EQ,392.2,390.65,396.6,390.5,391.5,392.45,393.71,3493193,137531804070000.0,47457,1597998,0.4575
2019-07-01,BPCL,EQ,392.45,391.0,392.85,374.5,376.35,376.2,382.24,5133734,196233022560000.0,62021,1588257,0.3094
2019-07-02,BPCL,EQ,376.2,379.55,382.0,376.75,378.25,378.5,379.73,5418010,205735731570000.0,56904,1826168,0.3371
2019-07-03,BPCL,EQ,378.5,383.0,385.4,378.95,380.8,381.2,381.68,5099808,194650235845000.0,46365,1982266,0.3887
2019-07-04,BPCL,EQ,381.2,384.0,384.0,378.45,380.0,380.0,380.23,2084424,79256545315000.0,31892,814867,0.3909
